updated_at,year,month,day,from,to,value
01.09.2021 12:15:00,2021,1,9.0,BE,PL,27.0
01.09.2021 12:15:00,2021,1,9.0,BE,IT,51.0
01.09.2021 12:15:00,2021,1,9.0,BE,BE,42.0
01.09.2021 12:15:00,2021,1,9.0,BE,ES,43.0
01.09.2021 12:15:00,2021,1,9.0,ES,DE,25.0
01.09.2021 12:15:00,2021,1,9.0,ES,AT,3.0
01.09.2021 12:15:00,2021,1,9.0,ES,FR,56.0
01.09.2021 12:15:00,2021,1,9.0,ES,NL,21.0
01.09.2021 12:15:00,2021,1,9.0,ES,CZ,3.0
01.09.2021 12:15:00,2021,1,9.0,ES,CH,4.0
01.09.2021 12:15:00,2021,1,9.0,ES,PL,9.0
01.09.2021 12:15:00,2021,1,9.0,ES,IT,39.0
01.09.2021 12:15:00,2021,1,9.0,ES,BE,9.0
01.09.2021 12:15:00,2021,1,9.0,ES,ES,32.0
